"ID","RT","age"
"HAVEN_02MJR09GDJ",1.5158,62.7369863
"HAVEN_02MJR09GDJ",1.6238,62.7369863
"HAVEN_02MJR09GDJ",2.548,62.7369863
"HAVEN_02MJR09GDJ",2.2428,62.7369863
"HAVEN_02MJR09GDJ",1.8869,62.7369863
"HAVEN_02MJR09GDJ",1.6399,62.7369863
"HAVEN_02MJR09GDJ",2.1689,62.7369863
"HAVEN_02MJR09GDJ",1.605,62.7369863
"HAVEN_02MJR09GDJ",1.8067,62.7369863
"HAVEN_02MJR09GDJ",1.7882,62.7369863
"HAVEN_02MJR09GDJ",1.7659,62.7369863
"HAVEN_02MJR09GDJ",3.8463,62.7369863
"HAVEN_02MJR09GDJ",2.7005,62.7369863
"HAVEN_02MJR09GDJ",1.5703,62.7369863
"HAVEN_02MJR09GDJ",1.9517,62.7369863
"HAVEN_02MJR09GDJ",2.2165,62.7369863
"HAVEN_02MJR09GDJ",1.4119,62.7369863
"HAVEN_02MJR09GDJ",2.1433,62.7369863
"HAVEN_02MJR09GDJ",2.4288,62.7369863
"HAVEN_02MJR09GDJ",2.6572,62.7369863
"HAVEN_02MJR09GDJ",2.266,62.7369863
"HAVEN_02MJR09GDJ",1.6511,62.7369863
"HAVEN_02MJR09GDJ",1.4416,62.7369863
"HAVEN_02MJR09GDJ",2.1888,62.7369863
"HAVEN_02MJR09GDJ",1.385,62.7369863
"HAVEN_02MJR09GDJ",1.7179,62.7369863
"HAVEN_02MJR09GDJ",2.3007,62.7369863
"HAVEN_02MJR09GDJ",2.7895,62.7369863
"HAVEN_02MJR09GDJ",2.3528,62.7369863
"HAVEN_02MJR09GDJ",2.8391,62.7369863
"HAVEN_02MJR09GDJ",3.4226,62.7369863
"HAVEN_02MJR09GDJ",2.3622,62.7369863
"HAVEN_02MJR09GDJ",2.9645,62.7369863
"HAVEN_02MJR09GDJ",2.8068,62.7369863
"HAVEN_02MJR09GDJ",2.6911,62.7369863
"HAVEN_02MJR09GDJ",1.2193,62.7369863
"HAVEN_02MJR09GDJ",1.8993,62.7369863
"HAVEN_02MJR09GDJ",1.5104,62.7369863
"HAVEN_02MJR09GDJ",1.9822,62.7369863
"HAVEN_02MJR09GDJ",1.4819,62.7369863
"HAVEN_02MJR09GDJ",1.544,62.7369863
"HAVEN_02MJR09GDJ",1.5747,62.7369863
"HAVEN_02MJR09GDJ",2.1949,62.7369863
"HAVEN_02MJR09GDJ",2.468,62.7369863
"HAVEN_02MJR09GDJ",1.9412,62.7369863
"HAVEN_02MJR09GDJ",1.1174,62.7369863
"HAVEN_02MJR09GDJ",2.7047,62.7369863
"HAVEN_02MJR09GDJ",2.419,62.7369863
"HAVEN_02MJR09GDJ",2.3248,62.7369863
"HAVEN_02MJR09GDJ",2.2069,62.7369863
"HAVEN_02MJR09GDJ",1.9303,62.7369863
"HAVEN_02MJR09GDJ",3.6831,62.7369863
"HAVEN_02MJR09GDJ",2.4995,62.7369863
"HAVEN_02MJR09GDJ",2.4933,62.7369863
"HAVEN_02MJR09GDJ",2.0468,62.7369863
"HAVEN_02MJR09GDJ",1.7831,62.7369863
"HAVEN_02MJR09GDJ",1.6128,62.7369863
"HAVEN_02MJR09GDJ",2.1985,62.7369863
"HAVEN_06UTR12MNO",1.6154,52.86575342
